Occupation,Marital Status,Emirate,Country,Gender,support,Coverage,Education,Income
Self-Employed,Single,Dubai,,F,0.18771331058020477,,,0
Self-Employed,,Dubai,,F,0.15358361774744028,Basic,,0
Employed,Married,Dubai,,F,0.14334470989761092,Basic,,
Employed,Married,Dubai,,F,0.1296928327645051,Extended,,
Self-Employed,,Dubai,,F,0.12286689419795221,Extended,,0
Employed,Married,Dubai,,F,0.11945392491467577,,Bachelor,
Self-Employed,Single,,,F,0.10921501706484642,Basic,,0
Self-Employed,,Dubai,,F,0.10238907849829351,,Bachelor,0
,Single,Dubai,,F,0.10238907849829351,Basic,,0
Self-Employed,Single,Dubai,,,0.10238907849829351,Basic,,0
Self-Employed,,Dubai,India,F,0.10238907849829351,,,0
Self-Employed,Single,Dubai,,F,0.10238907849829351,Basic,,
Employed,Married,Dubai,,F,0.09215017064846416,,College,
Self-Employed,,Dubai,,F,0.09215017064846416,,College,0
,Married,Dubai,,F,0.09215017064846416,Basic,College,
Self-Employed,,Dubai,,F,0.08873720136518772,,High School or Below,0
Self-Employed,Married,Dubai,,F,0.08873720136518772,,,0
Employed,,Dubai,,F,0.08532423208191127,Extended,Bachelor,
,Married,Dubai,India,F,0.08532423208191127,Basic,,
,Married,Dubai,,F,0.08191126279863481,Basic,High School or Below,
Employed,,Dubai,India,F,0.08191126279863481,Basic,,
,Married,Dubai,,F,0.07849829351535836,Extended,Bachelor,
Employed,Married,Dubai,,F,0.07849829351535836,,High School or Below,
Employed,Married,Dubai,Pakistan,F,0.07508532423208192,,,
Employed,Married,Dubai,India,F,0.07508532423208192,,,
Employed,,Dubai,,F,0.07508532423208192,Basic,High School or Below,
Self-Employed,Single,Dubai,,F,0.07167235494880546,Extended,,
,Single,Dubai,,F,0.07167235494880546,Extended,,0
Self-Employed,Single,Dubai,,,0.07167235494880546,Extended,,0
Self-Employed,Single,,,F,0.07167235494880546,Extended,,0
,Married,Dubai,Pakistan,F,0.07167235494880546,Basic,,
Employed,,Dubai,,F,0.07167235494880546,Basic,College,
Self-Employed,,,,F,0.06825938566552901,Basic,College,0
Self-Employed,,Dubai,Pakistan,F,0.06825938566552901,,,0
Self-Employed,Single,,,F,0.06484641638225255,,Bachelor,0
Self-Employed,Single,Dubai,,F,0.06484641638225255,,Bachelor,
,Single,Dubai,India,F,0.06484641638225255,,,0
Self-Employed,Single,Dubai,,,0.06484641638225255,,Bachelor,0
Employed,,Dubai,,F,0.06484641638225255,Basic,Bachelor,
Self-Employed,Single,Dubai,India,,0.06484641638225255,,,0
Self-Employed,Single,,India,F,0.06484641638225255,,,0
Self-Employed,Single,Dubai,India,F,0.06484641638225255,,,
,Single,Dubai,,F,0.06484641638225255,,Bachelor,0
,Single,Dubai,,F,0.06143344709897611,,High School or Below,0
Self-Employed,Single,Dubai,,,0.06143344709897611,,High School or Below,0
Self-Employed,Single,,,F,0.06143344709897611,,High School or Below,0
Self-Employed,,,India,F,0.06143344709897611,Extended,,0
,Married,Dubai,,F,0.06143344709897611,Basic,Bachelor,
Employed,,Dubai,UAE,F,0.06143344709897611,Premium,,
Self-Employed,Single,Dubai,,F,0.06143344709897611,,High School or Below,
Self-Employed,,,India,F,0.06143344709897611,Basic,,0
Employed,,Dubai,Philipines,F,0.05802047781569966,Basic,,
Self-Employed,,Dubai,,,0.05802047781569966,Basic,College,0
Self-Employed,,Dubai,,F,0.05802047781569966,Basic,College,
,,Dubai,,F,0.05802047781569966,Basic,College,0
Employed,Married,Dubai,Philipines,F,0.05802047781569966,,,
,Married,Dubai,Pakistan,F,0.05460750853242321,Extended,,
Employed,,Dubai,Pakistan,F,0.05460750853242321,Extended,,
,Married,Dubai,UAE,F,0.05460750853242321,Premium,,
,,Dubai,India,F,0.05460750853242321,Extended,,0
Self-Employed,Single,,,F,0.05460750853242321,,College,0
Employed,Married,,India,F,0.05460750853242321,Basic,,
Employed,Married,,,F,0.05460750853242321,Extended,Bachelor,
,,Dubai,India,F,0.05460750853242321,Basic,College,
,,Dubai,UAE,F,0.05460750853242321,Premium,Bachelor,
Self-Employed,Married,,,F,0.05460750853242321,Extended,,0
Employed,Married,Dubai,,,0.05460750853242321,Extended,Bachelor,
Employed,Married,Dubai,India,,0.05460750853242321,Basic,,
Self-Employed,,Dubai,India,,0.05460750853242321,Extended,,0
Self-Employed,,Dubai,India,F,0.05460750853242321,Extended,,
,Single,Dubai,,F,0.05460750853242321,Basic,High School or Below,
Self-Employed,,,,F,0.051194539249146756,Extended,Bachelor,0
,Married,Dubai,India,F,0.051194539249146756,,College,
,Single,Dubai,India,F,0.051194539249146756,Basic,,
Self-Employed,Married,,,F,0.051194539249146756,Basic,,0
Self-Employed,,,,F,0.051194539249146756,Basic,Bachelor,0
,Single,Dubai,,F,0.051194539249146756,,College,0
Self-Employed,Single,,Pakistan,F,0.051194539249146756,,,0
,Married,Dubai,India,F,0.051194539249146756,Extended,,
Self-Employed,Single,Dubai,,F,0.051194539249146756,,College,
Self-Employed,Single,Dubai,,,0.051194539249146756,,College,0
Self-Employed,,Dubai,,,0.04778156996587031,Basic,Bachelor,0
Self-Employed,Single,Dubai,Pakistan,,0.04778156996587031,,,0
,Single,Dubai,,F,0.04778156996587031,Basic,College,
,,Dubai,Pakistan,F,0.04778156996587031,Extended,Bachelor,
Self-Employed,Single,Dubai,Pakistan,F,0.04778156996587031,,,
Self-Employed,,Dubai,India,,0.04778156996587031,Basic,,0
,,Dubai,India,F,0.04778156996587031,Extended,Bachelor,
Self-Employed,,,India,F,0.04778156996587031,,High School or Below,0
,,Dubai,Pakistan,F,0.04778156996587031,Basic,College,
Employed,Married,,,F,0.04778156996587031,Basic,College,
Self-Employed,,Dubai,,F,0.04778156996587031,Basic,Bachelor,
Employed,Married,Dubai,,,0.04778156996587031,Basic,High School or Below,
,,Dubai,India,F,0.04778156996587031,Basic,,0
,,Dubai,India,F,0.04778156996587031,Basic,High School or Below,
,Married,Dubai,India,F,0.04778156996587031,,Bachelor,
,Married,Dubai,,F,0.04778156996587031,Extended,High School or Below,
Employed,Married,Dubai,,,0.04778156996587031,Basic,College,
Self-Employed,,,,F,0.04778156996587031,Basic,High School or Below,0
Employed,Married,,,F,0.04778156996587031,Basic,High School or Below,
,Married,Dubai,Pakistan,F,0.04778156996587031,,College,
,Single,Dubai,Pakistan,F,0.04778156996587031,,,0
,,Dubai,,F,0.04778156996587031,Basic,Bachelor,0
,Married,,India,F,0.04778156996587031,Basic,College,
Self-Employed,,Dubai,India,F,0.04778156996587031,Basic,,
,Single,Dubai,,F,0.04778156996587031,Basic,Bachelor,
Self-Employed,Married,,India,F,0.04778156996587031,,,0
,,Dubai,India,F,0.04436860068259386,Basic,Bachelor,
Self-Employed,Married,,,F,0.04436860068259386,,Bachelor,0
Employed,,Dubai,Pakistan,F,0.04436860068259386,,Bachelor,
Employed,Married,,,F,0.04436860068259386,Basic,Bachelor,
,Married,Dubai,,F,0.04436860068259386,Extended,College,
Employed,,Dubai,Pakistan,F,0.04436860068259386,Basic,,
Self-Employed,,,Pakistan,F,0.04436860068259386,Extended,,0
,Married,Dubai,India,,0.04436860068259386,Basic,College,
Employed,Married,Dubai,,,0.04436860068259386,Basic,Bachelor,
,Married,Dubai,Philipines,F,0.04436860068259386,Basic,,
Employed,Single,Dubai,,F,0.040955631399317405,Basic,,
Self-Employed,,Dubai,India,,0.040955631399317405,,High School or Below,0
Employed,Divorced,Dubai,,F,0.040955631399317405,Basic,,
,Married,Dubai,Philipines,F,0.040955631399317405,,High School or Below,
Self-Employed,,Dubai,,,0.040955631399317405,Extended,Bachelor,0
Government,Married,Dubai,,F,0.040955631399317405,Basic,,
,Married,Dubai,Philipines,F,0.040955631399317405,Extended,,
Self-Employed,,Dubai,,F,0.040955631399317405,Extended,Bachelor,
Employed,,Dubai,,F,0.040955631399317405,Extended,College,
Employed,Married,Dubai,Pakistan,,0.040955631399317405,Extended,,
,,Dubai,Philipines,F,0.040955631399317405,Basic,High School or Below,
,Single,,,F,0.040955631399317405,Basic,Bachelor,0
,,Dubai,,F,0.040955631399317405,Extended,Bachelor,0
,,Dubai,India,F,0.040955631399317405,,High School or Below,0
Self-Employed,,Dubai,India,F,0.040955631399317405,,High School or Below,
Employed,,Dubai,Philipines,F,0.040955631399317405,Extended,,
,,Dubai,,F,0.040955631399317405,Basic,High School or Below,0
Employed,,Dubai,India,F,0.040955631399317405,,Bachelor,
,Single,Dubai,,,0.040955631399317405,Basic,Bachelor,0
Self-Employed,Single,,,,0.040955631399317405,Basic,Bachelor,0
Employed,Married,,Pakistan,F,0.040955631399317405,Extended,,
,Married,Dubai,Pakistan,F,0.040955631399317405,,Bachelor,
Self-Employed,,Dubai,,,0.040955631399317405,Basic,High School or Below,0
Self-Employed,Single,,,F,0.040955631399317405,Basic,Bachelor,
,Single,Dubai,India,F,0.040955631399317405,,High School or Below,
Self-Employed,,Dubai,,F,0.040955631399317405,Basic,High School or Below,
Self-Employed,Single,Dubai,,,0.040955631399317405,Basic,Bachelor,
,Single,Dubai,India,F,0.040955631399317405,Extended,,
Employed,,Dubai,India,F,0.040955631399317405,Extended,,
Employed,Divorced,Dubai,,F,0.040955631399317405,,Bachelor,
Self-Employed,,Dubai,Philipines,F,0.03754266211604096,,,0
Self-Employed,Married,Dubai,,F,0.03754266211604096,Basic,,
,Single,Dubai,Pakistan,F,0.03754266211604096,Extended,,
Self-Employed,,,,F,0.03754266211604096,Extended,High School or Below,0
,Married,Dubai,UAE,,0.03754266211604096,Premium,Bachelor,
Self-Employed,,,Pakistan,F,0.03754266211604096,Basic,,0
,Married,Dubai,,F,0.03754266211604096,Premium,Bachelor,
,Married,,UAE,F,0.03754266211604096,Premium,Bachelor,
Self-Employed,,Dubai,China,F,0.03754266211604096,,,0
Self-Employed,,Dubai,,,0.03754266211604096,Extended,High School or Below,0
Self-Employed,Married,Dubai,,F,0.03754266211604096,Extended,,
,Single,Dubai,,F,0.03754266211604096,Extended,Bachelor,
Employed,Married,Dubai,,,0.03754266211604096,Extended,College,
,Married,Dubai,,F,0.03754266211604096,Basic,,0
,Married,Dubai,UAE,F,0.03754266211604096,,Bachelor,
Self-Employed,,Dubai,,F,0.03754266211604096,Extended,High School or Below,
Self-Employed,Married,Dubai,,,0.03754266211604096,Extended,,0
,,Dubai,,F,0.03754266211604096,Extended,High School or Below,0
,Married,Dubai,,F,0.03754266211604096,Extended,,0
Self-Employed,,,India,F,0.03754266211604096,,Bachelor,0
Employed,Married,,,F,0.03754266211604096,Extended,College,
Self-Employed,Married,Dubai,,,0.03754266211604096,Basic,,0
Employed,,Dubai,Pakistan,F,0.03754266211604096,,College,
Employed,Married,Dubai,,F,0.034129692832764506,Premium,,
,Married,,India,F,0.034129692832764506,Extended,Bachelor,
,Single,Dubai,Pakistan,F,0.034129692832764506,Basic,,
Self-Employed,,Dubai,Pakistan,F,0.034129692832764506,Basic,,
Self-Employed,,Dubai,Pakistan,F,0.034129692832764506,Extended,,
Employed,,Dubai,,F,0.034129692832764506,Premium,Bachelor,
Employed,Divorced,Dubai,,F,0.034129692832764506,Extended,,
Employed,Married,Dubai,UAE,F,0.034129692832764506,,,
,Single,,India,F,0.034129692832764506,Basic,,0
Employed,,Dubai,UAE,F,0.034129692832764506,,Bachelor,
Employed,,Dubai,India,F,0.034129692832764506,,High School or Below,
Employed,,,UAE,F,0.034129692832764506,Premium,Bachelor,
Self-Employed,Single,,India,,0.034129692832764506,Basic,,0
Self-Employed,Married,,,F,0.034129692832764506,,High School or Below,0
,,Dubai,India,F,0.034129692832764506,Extended,High School or Below,
Employed,Married,Dubai,China,F,0.034129692832764506,,,
,Single,Dubai,India,,0.034129692832764506,Basic,,0
Employed,,Dubai,India,F,0.034129692832764506,,College,
Employed,,Dubai,UAE,,0.034129692832764506,Premium,Bachelor,
Self-Employed,Single,,India,F,0.034129692832764506,Basic,,
,,Dubai,Pakistan,F,0.034129692832764506,Extended,,0
Employed,,Dubai,Philipines,F,0.034129692832764506,,High School or Below,
,,Dubai,Pakistan,F,0.034129692832764506,Extended,College,
Employed,Married,Dubai,UAE,,0.034129692832764506,Premium,,
,,Dubai,Philipines,F,0.034129692832764506,Basic,College,
Self-Employed,,Dubai,Pakistan,,0.034129692832764506,Basic,,0
Self-Employed,Single,Dubai,India,,0.034129692832764506,Basic,,
Employed,Married,,Pakistan,F,0.034129692832764506,Basic,,
Employed,Married,,UAE,F,0.034129692832764506,Premium,,
Employed,Married,Dubai,Pakistan,,0.034129692832764506,Basic,,
,Single,Dubai,UAE,F,0.034129692832764506,Premium,,
,,Dubai,Pakistan,F,0.034129692832764506,Basic,,0
Self-Employed,,Dubai,Pakistan,,0.034129692832764506,Extended,,0
,,Dubai,India,F,0.030716723549488054,,Bachelor,0
Self-Employed,Single,,India,F,0.030716723549488054,,High School or Below,
Employed,Married,,Philipines,F,0.030716723549488054,Basic,,
Employed,Married,,Pakistan,F,0.030716723549488054,,Bachelor,
,Single,,,F,0.030716723549488054,Basic,High School or Below,0
Self-Employed,Single,,,,0.030716723549488054,Basic,High School or Below,0
Self-Employed,,,Other,F,0.030716723549488054,Basic,,0
Self-Employed,Single,,,F,0.030716723549488054,Basic,High School or Below,
Self-Employed,,Dubai,,,0.030716723549488054,Extended,College,0
Employed,Married,Dubai,Philipines,,0.030716723549488054,Basic,,
Self-Employed,,Dubai,,F,0.030716723549488054,Extended,College,
,Single,,India,F,0.030716723549488054,,High School or Below,0
,Married,Dubai,China,F,0.030716723549488054,Basic,,
Self-Employed,Single,,India,,0.030716723549488054,Extended,,0
Self-Employed,Married,Dubai,,,0.030716723549488054,,Bachelor,0
Self-Employed,,,India,F,0.030716723549488054,,College,0
Employed,Married,Dubai,Other,F,0.030716723549488054,,,
,Single,,India,F,0.030716723549488054,Extended,,0
Self-Employed,Single,Dubai,,,0.030716723549488054,Basic,High School or Below,
Self-Employed,Single,,India,,0.030716723549488054,,High School or Below,0
Self-Employed,Single,,India,F,0.030716723549488054,Extended,,
,Married,Dubai,India,F,0.030716723549488054,,High School or Below,
Employed,,,India,F,0.030716723549488054,Basic,College,
Self-Employed,Single,Dubai,India,,0.030716723549488054,Extended,,
Self-Employed,,,,F,0.030716723549488054,Extended,College,0
,,Dubai,,F,0.030716723549488054,Extended,College,0
Employed,,Dubai,India,,0.030716723549488054,Basic,College,
,Married,Dubai,India,F,0.030716723549488054,,,0
,Single,,,F,0.030716723549488054,Basic,College,0
Self-Employed,Single,,,,0.030716723549488054,Basic,College,0
,Single,Dubai,,,0.030716723549488054,Basic,High School or Below,0
Employed,Married,,Pakistan,F,0.030716723549488054,,College,
Self-Employed,Single,,,F,0.030716723549488054,Basic,College,
Employed,,Dubai,Pakistan,,0.030716723549488054,Extended,Bachelor,
Employed,Married,Dubai,Pakistan,,0.030716723549488054,,Bachelor,
Self-Employed,Single,Dubai,India,,0.030716723549488054,,High School or Below,
Self-Employed,,Dubai,India,F,0.030716723549488054,,Bachelor,
,Married,Dubai,,F,0.030716723549488054,,Bachelor,0
,Single,Dubai,India,,0.030716723549488054,Extended,,0
Employed,,,Pakistan,F,0.030716723549488054,Extended,Bachelor,
Self-Employed,,Dubai,Other,F,0.030716723549488054,,,0
Self-Employed,Married,Dubai,,F,0.030716723549488054,,Bachelor,
,,Dubai,Pakistan,F,0.030716723549488054,Basic,Bachelor,
Self-Employed,Married,Dubai,India,F,0.030716723549488054,,,
Employed,Married,Dubai,Pakistan,,0.030716723549488054,,College,
Self-Employed,,Dubai,India,,0.030716723549488054,,Bachelor,0
Employed,,Dubai,,F,0.030716723549488054,Extended,High School or Below,
,Single,Dubai,India,,0.030716723549488054,,High School or Below,0
Self-Employed,Married,Dubai,India,,0.030716723549488054,,,0
,,Dubai,Pakistan,F,0.027303754266211604,,College,0
Self-Employed,,,Pakistan,F,0.027303754266211604,,Bachelor,0
Self-Employed,Married,Dubai,,F,0.027303754266211604,,High School or Below,
,Single,Dubai,,,0.027303754266211604,Basic,College,0
Self-Employed,Single,Dubai,China,,0.027303754266211604,,,0
Self-Employed,,Dubai,Other,,0.027303754266211604,Basic,,0
Self-Employed,Married,Dubai,,,0.027303754266211604,,High School or Below,0
Self-Employed,,Dubai,Pakistan,F,0.027303754266211604,,College,
Self-Employed,Single,Dubai,China,F,0.027303754266211604,,,
Employed,Married,Dubai,India,,0.027303754266211604,,College,
,Married,Dubai,China,F,0.027303754266211604,,High School or Below,
,Married,Dubai,Pakistan,,0.027303754266211604,Basic,College,
,Married,,India,F,0.027303754266211604,Extended,,0
,,Dubai,UAE,F,0.027303754266211604,Premium,,0
Employed,Divorced,Dubai,India,F,0.027303754266211604,,,
,Single,,Pakistan,F,0.027303754266211604,Extended,,0
Self-Employed,Single,,China,F,0.027303754266211604,,,0
Self-Employed,,Dubai,UAE,F,0.027303754266211604,,,0
Self-Employed,,,UAE,F,0.027303754266211604,Premium,,0
Self-Employed,Single,,Pakistan,,0.027303754266211604,Extended,,0
Employed,,Dubai,China,F,0.027303754266211604,Extended,,
Self-Employed,,Dubai,UAE,F,0.027303754266211604,Premium,,
Self-Employed,,Dubai,UAE,,0.027303754266211604,Premium,,0
Self-Employed,,Dubai,,F,0.027303754266211604,Premium,,0
,Single,Dubai,,F,0.027303754266211604,Extended,High School or Below,
