Education,Coverage,Emirate,Marital Status,Country,support,Occupation,Gender
,Basic,Dubai,Married,,0.13399503722084366,Employed,M
,Basic,Abu Dhabi,Married,,0.10918114143920596,Employed,F
High School or Below,,Dubai,Married,,0.0967741935483871,Employed,M
,Basic,Sharjah,Married,,0.08933002481389578,Employed,F
,Extended,Dubai,Married,,0.08933002481389578,Employed,M
High School or Below,Basic,,Married,,0.08188585607940446,Employed,M
Bachelor,Basic,,Married,,0.08188585607940446,Employed,M
,,Dubai,Married,Pakistan,0.0794044665012407,Employed,M
,Basic,,Married,India,0.07692307692307693,Employed,M
,Basic,,Married,Pakistan,0.07444168734491315,Employed,F
Bachelor,,Dubai,Married,,0.07196029776674938,Employed,M
,,Dubai,Married,India,0.06699751861042183,Employed,M
,Basic,,Married,Pakistan,0.06451612903225806,Employed,M
Bachelor,Basic,,Married,,0.062034739454094295,Employed,F
College,Basic,,Married,,0.05955334987593052,Employed,F
High School or Below,Extended,,Married,,0.05707196029776675,Employed,M
,Extended,Sharjah,Married,,0.05707196029776675,Employed,F
,,Abu Dhabi,Married,Pakistan,0.05707196029776675,Employed,F
Bachelor,Basic,Abu Dhabi,Married,,0.05459057071960298,Employed,
,Basic,Sharjah,Married,,0.05459057071960298,Employed,M
,Basic,Abu Dhabi,Married,Pakistan,0.05459057071960298,Employed,
,Basic,Abu Dhabi,,Pakistan,0.05459057071960298,Employed,F
Bachelor,Basic,,Married,India,0.05459057071960298,Employed,
High School or Below,,,Married,Pakistan,0.052109181141439205,Employed,M
High School or Below,Basic,,,Pakistan,0.052109181141439205,Employed,M
High School or Below,Basic,Dubai,Married,,0.052109181141439205,Employed,
High School or Below,Basic,Dubai,,,0.052109181141439205,Employed,M
High School or Below,Basic,Dubai,Married,,0.052109181141439205,,M
Bachelor,,,Married,India,0.052109181141439205,Employed,M
College,,Abu Dhabi,Married,,0.052109181141439205,Employed,F
Bachelor,,Sharjah,Married,,0.052109181141439205,Employed,F
College,Basic,,Married,,0.052109181141439205,Employed,M
High School or Below,Basic,,Married,Pakistan,0.052109181141439205,Employed,
,Extended,,Married,India,0.04962779156327544,Employed,M
,Basic,Abu Dhabi,Married,,0.04962779156327544,Employed,M
College,,Dubai,Married,,0.04962779156327544,Employed,M
College,,Sharjah,Married,,0.04962779156327544,Employed,F
,Basic,,Married,Philipines,0.04962779156327544,Employed,F
,Basic,Abu Dhabi,,India,0.04962779156327544,Employed,F
,Basic,Abu Dhabi,Married,Pakistan,0.04714640198511166,,F
Bachelor,Basic,Sharjah,,,0.04714640198511166,Employed,F
Bachelor,,Abu Dhabi,Married,,0.04714640198511166,Employed,F
Bachelor,Basic,,,India,0.04714640198511166,Employed,M
Bachelor,Basic,Sharjah,Married,,0.04714640198511166,Employed,
,,Sharjah,Married,India,0.04714640198511166,Employed,F
Bachelor,Extended,,Married,,0.04714640198511166,Employed,M
,Extended,Sharjah,Married,India,0.04714640198511166,Employed,
,Basic,Dubai,Married,India,0.04466501240694789,Employed,
,Basic,Dubai,Married,Pakistan,0.04466501240694789,Employed,
,Basic,,Married,India,0.04466501240694789,Employed,F
,Basic,Dubai,Married,Pakistan,0.04466501240694789,,M
,Extended,,Married,Pakistan,0.04466501240694789,Employed,M
,Basic,Dubai,Married,India,0.04466501240694789,,M
,Basic,Dubai,,Pakistan,0.04466501240694789,Employed,M
,Basic,Dubai,,India,0.04466501240694789,Employed,M
,Extended,Abu Dhabi,Married,,0.04466501240694789,Employed,F
High School or Below,Basic,Abu Dhabi,Married,,0.04466501240694789,Employed,
Bachelor,Basic,Dubai,Married,,0.04218362282878412,Employed,
Bachelor,Basic,,Married,Pakistan,0.04218362282878412,Employed,
Bachelor,Basic,Dubai,,,0.04218362282878412,Employed,M
High School or Below,Basic,,Married,,0.04218362282878412,Employed,F
High School or Below,,,Married,India,0.04218362282878412,Employed,M
Bachelor,Basic,Dubai,Married,,0.04218362282878412,,M
College,Basic,Sharjah,Married,,0.04218362282878412,Employed,
High School or Below,Basic,Abu Dhabi,,,0.04218362282878412,Employed,F
College,Basic,Abu Dhabi,,,0.04218362282878412,Employed,F
,,Sharjah,Married,Pakistan,0.04218362282878412,Employed,F
Bachelor,Basic,Abu Dhabi,,,0.04218362282878412,Employed,M
,Basic,Abu Dhabi,Married,India,0.04218362282878412,Employed,
,Basic,Sharjah,Married,Philipines,0.03970223325062035,Employed,
High School or Below,Basic,,Married,Pakistan,0.03970223325062035,,M
High School or Below,,Dubai,,Pakistan,0.03970223325062035,Employed,M
College,Basic,Abu Dhabi,Married,,0.03970223325062035,Employed,
High School or Below,,Dubai,Married,Pakistan,0.03970223325062035,,M
High School or Below,,Dubai,Married,Pakistan,0.03970223325062035,Employed,
College,,,Married,Pakistan,0.03970223325062035,Employed,F
,Basic,,Married,Philipines,0.03970223325062035,Employed,M
Bachelor,,,Married,Pakistan,0.03970223325062035,Employed,F
High School or Below,,Abu Dhabi,Married,,0.03970223325062035,Employed,F
,Basic,Sharjah,Married,Pakistan,0.03970223325062035,Employed,
,Extended,,Married,India,0.03970223325062035,Employed,F
Bachelor,Basic,,Married,India,0.03722084367245657,,M
High School or Below,Basic,,Married,India,0.03722084367245657,Employed,
,Extended,Sharjah,,India,0.03722084367245657,Employed,F
Bachelor,Basic,Sharjah,Married,,0.03722084367245657,,F
,Basic,Sharjah,,India,0.03722084367245657,Employed,M
Bachelor,Basic,Abu Dhabi,,,0.03722084367245657,Employed,F
,Basic,Sharjah,,Pakistan,0.03722084367245657,Employed,F
,,Abu Dhabi,Married,India,0.03722084367245657,Employed,F
College,Extended,,Married,,0.03722084367245657,Employed,F
,Extended,Sharjah,Married,,0.03722084367245657,Employed,M
College,Basic,,Married,Pakistan,0.03722084367245657,Employed,
High School or Below,Extended,Dubai,Married,,0.034739454094292806,Employed,
High School or Below,Extended,Dubai,Married,,0.034739454094292806,,M
,,Abu Dhabi,Married,Philipines,0.034739454094292806,Employed,F
,Basic,Sharjah,,Philipines,0.034739454094292806,Employed,F
,Extended,Dubai,Married,Pakistan,0.034739454094292806,,M
Bachelor,,Abu Dhabi,Married,,0.034739454094292806,Employed,M
College,Basic,Abu Dhabi,Married,,0.034739454094292806,,F
,Extended,Dubai,,Pakistan,0.034739454094292806,Employed,M
,Basic,,Married,China,0.034739454094292806,Employed,M
High School or Below,Extended,Dubai,,,0.034739454094292806,Employed,M
,Extended,Dubai,Married,Pakistan,0.034739454094292806,Employed,
,,Sharjah,Married,India,0.034739454094292806,Employed,M
,,Sharjah,Married,Philipines,0.034739454094292806,Employed,F
,Basic,Sharjah,Married,India,0.034739454094292806,Employed,
