Country,Emirate,Education,Occupation,Gender,Marital Status,Coverage,Income,cluster
Other,Dubai,Bachelor,Employed,F,Married,Basic,56274,0
Philipines,Dubai,Bachelor,Self-Employed,F,Single,Extended,0,0
UAE,Dubai,Bachelor,Employed,F,Married,Premium,48767,0
India,Dubai,Bachelor,Self-Employed,M,Married,Basic,0,2
Other,Abu Dhabi,Bachelor,Employed,M,Single,Basic,43836,1
Pakistan,Abu Dhabi,Bachelor,Employed,F,Married,Basic,62902,1
Pakistan,Dubai,College,Employed,F,Married,Basic,55350,0
UAE,Sharjah,Master,Self-Employed,M,Single,Premium,0,2
Pakistan,Dubai,Bachelor,Enterpreneur,M,Divorced,Basic,14072,2
Pakistan,Sharjah,College,Employed,F,Married,Extended,28812,1
India,Dubai,College,Self-Employed,M,Single,Basic,0,2
India,Dubai,College,Self-Employed,F,Married,Basic,0,0
UAE,Sharjah,Master,Employed,M,Married,Premium,77026,1
Philipines,Dubai,High School or Below,Employed,M,Married,Basic,99845,1
India,Sharjah,College,Employed,M,Single,Basic,83689,1
Pakistan,Abu Dhabi,Bachelor,Employed,F,Married,Basic,24599,1
China,Dubai,High School or Below,Enterpreneur,M,Married,Basic,25049,2
India,Dubai,College,Enterpreneur,M,Married,Basic,28855,2
Pakistan,Sharjah,College,Employed,M,Married,Basic,51148,1
UAE,Dubai,High School or Below,Employed,F,Married,Premium,66140,0
Pakistan,Dubai,High School or Below,Employed,M,Single,Basic,57749,2
Other,Dubai,Bachelor,Government,F,Divorced,Extended,13789,0
Philipines,Dubai,Bachelor,Enterpreneur,M,Divorced,Basic,14072,2
China,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
India,Dubai,Bachelor,Government,F,Married,Basic,17870,0
Pakistan,Dubai,College,Employed,M,Married,Basic,97541,1
UAE,Dubai,Bachelor,Self-Employed,F,Single,Premium,0,0
Other,Sharjah,Master,Government,F,Married,Extended,10511,0
UAE,Dubai,College,Employed,F,Single,Premium,86584,0
Pakistan,Dubai,Master,Employed,F,Married,Extended,75690,0
Philipines,Dubai,College,Employed,M,Married,Basic,23158,1
China,Sharjah,High School or Below,Employed,M,Married,Extended,65999,1
India,Sharjah,Bachelor,Self-Employed,M,Married,Basic,0,2
Other,Dubai,Bachelor,Employed,M,Married,Basic,54500,1
Pakistan,Abu Dhabi,Bachelor,Employed,F,Married,Basic,37260,1
Philipines,Sharjah,High School or Below,Employed,F,Married,Basic,68987,1
UAE,Dubai,Bachelor,Employed,M,Married,Premium,42305,1
Pakistan,Dubai,Master,Employed,F,Married,Extended,65706,0
Pakistan,Dubai,Bachelor,Self-Employed,M,Single,Extended,0,2
Philipines,Abu Dhabi,High School or Below,Employed,M,Divorced,Basic,53243,1
China,Dubai,High School or Below,Self-Employed,F,Married,Basic,0,0
Pakistan,Abu Dhabi,College,Employed,F,Single,Basic,50071,1
India,Dubai,Bachelor,Employed,F,Married,Extended,60021,0
Philipines,Dubai,High School or Below,Employed,M,Married,Basic,43244,1
Other,Dubai,College,Employed,M,Married,Basic,92834,1
UAE,Abu Dhabi,Doctor,Government,F,Married,Premium,10105,0
Philipines,Dubai,Bachelor,Self-Employed,M,Single,Basic,0,2
Pakistan,Dubai,High School or Below,Employed,F,Single,Basic,23218,0
India,Dubai,Bachelor,Self-Employed,F,Married,Extended,0,0
Philipines,Dubai,High School or Below,Self-Employed,F,Married,Basic,0,0
Pakistan,Dubai,College,Employed,M,Married,Basic,24804,1
India,Dubai,Bachelor,Employed,F,Divorced,Basic,33190,0
China,Abu Dhabi,High School or Below,Employed,F,Married,Basic,36014,1
Other,Dubai,Bachelor,Employed,M,Single,Basic,29834,2
UAE,Dubai,Bachelor,Government,M,Married,Premium,16701,2
Philipines,Dubai,College,Employed,F,Divorced,Extended,46623,0
India,Sharjah,College,Employed,M,Married,Basic,64749,1
Philipines,Dubai,High School or Below,Self-Employed,F,Married,Basic,0,0
Pakistan,Dubai,High School or Below,Government,F,Divorced,Extended,16969,0
UAE,Dubai,Master,Government,F,Divorced,Premium,11621,0
Philipines,Dubai,Bachelor,Retired,M,Divorced,Basic,17622,2
UAE,Dubai,Bachelor,Enterpreneur,F,Married,Premium,11489,0
Pakistan,Dubai,Bachelor,Self-Employed,M,Single,Extended,0,2
India,Abu Dhabi,High School or Below,Employed,F,Married,Basic,66525,1
Philipines,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
Other,Dubai,College,Employed,M,Married,Basic,33663,1
Pakistan,Dubai,College,Employed,F,Divorced,Basic,22547,0
Philipines,Sharjah,High School or Below,Employed,F,Married,Extended,61486,1
Pakistan,Dubai,Bachelor,Self-Employed,F,Divorced,Extended,0,0
UAE,Dubai,College,Government,F,Married,Premium,29879,0
Pakistan,Abu Dhabi,High School or Below,Employed,M,Divorced,Basic,93011,1
Pakistan,Abu Dhabi,Master,Employed,M,Married,Basic,65186,1
Pakistan,Dubai,Master,Enterpreneur,M,Married,Basic,26840,2
Pakistan,Dubai,Bachelor,Self-Employed,M,Single,Basic,0,2
Pakistan,Dubai,Bachelor,Employed,M,Divorced,Basic,75644,2
Pakistan,Dubai,Bachelor,Employed,M,Married,Basic,38984,1
Pakistan,Abu Dhabi,High School or Below,Employed,F,Single,Basic,71811,1
China,Dubai,College,Employed,M,Married,Basic,20961,1
Other,Abu Dhabi,College,Employed,M,Married,Extended,38923,1
India,Abu Dhabi,Bachelor,Employed,M,Single,Basic,61321,1
India,Abu Dhabi,College,Self-Employed,F,Single,Extended,0,0
India,Dubai,High School or Below,Employed,M,Single,Basic,51066,2
India,Dubai,Doctor,Employed,M,Married,Basic,34378,1
China,Dubai,Master,Employed,M,Married,Basic,43072,1
Pakistan,Dubai,College,Government,F,Single,Extended,25222,0
Other,Dubai,High School or Below,Employed,M,Married,Basic,36765,1
India,Dubai,College,Retired,M,Married,Extended,23091,2
India,Sharjah,Bachelor,Employed,F,Married,Basic,48269,1
Pakistan,Dubai,Bachelor,Employed,F,Divorced,Basic,32720,0
India,Dubai,College,Employed,M,Married,Extended,20396,1
UAE,Dubai,College,Enterpreneur,M,Married,Premium,21513,2
Other,Dubai,Bachelor,Employed,F,Married,Extended,72540,0
Pakistan,Abu Dhabi,Bachelor,Employed,F,Married,Basic,80744,1
Pakistan,Dubai,Bachelor,Employed,M,Married,Basic,52822,1
India,Dubai,High School or Below,Self-Employed,F,Single,Extended,0,0
Pakistan,Dubai,Bachelor,Employed,F,Married,Basic,69738,0
Philipines,Abu Dhabi,Master,Enterpreneur,F,Married,Basic,17780,1
India,Dubai,Bachelor,Enterpreneur,M,Married,Basic,18107,2
Philipines,Sharjah,Bachelor,Employed,F,Married,Basic,57740,1
Pakistan,Dubai,College,Employed,M,Married,Extended,32627,1
India,Dubai,College,Self-Employed,F,Married,Basic,0,0
India,Dubai,College,Self-Employed,M,Single,Basic,0,2
Pakistan,Abu Dhabi,Bachelor,Employed,M,Single,Basic,65795,1
UAE,Dubai,College,Employed,M,Married,Premium,60475,1
India,Dubai,High School or Below,Self-Employed,F,Single,Extended,0,0
Pakistan,Abu Dhabi,Bachelor,Employed,F,Married,Extended,41837,1
India,Abu Dhabi,Bachelor,Employed,F,Married,Basic,32303,1
Pakistan,Dubai,High School or Below,Self-Employed,M,Married,Basic,0,2
India,Abu Dhabi,Bachelor,Employed,F,Married,Basic,40531,1
Pakistan,Sharjah,College,Employed,M,Married,Basic,79898,1
India,Dubai,College,Employed,M,Married,Extended,56398,1
Other,Dubai,High School or Below,Employed,M,Divorced,Extended,35257,2
Philipines,Dubai,College,Employed,M,Married,Basic,27804,1
Pakistan,Dubai,Bachelor,Employed,M,Single,Basic,45506,2
Other,Dubai,High School or Below,Employed,M,Married,Basic,65196,1
India,Dubai,High School or Below,Self-Employed,M,Married,Basic,0,2
Pakistan,Dubai,High School or Below,Retired,M,Divorced,Extended,20993,2
Philipines,Dubai,High School or Below,Employed,M,Married,Extended,37839,1
India,Dubai,Bachelor,Employed,F,Single,Basic,92711,0
India,Sharjah,College,Employed,F,Married,Extended,74665,1
Other,Dubai,College,Self-Employed,M,Married,Extended,0,2
India,Abu Dhabi,Bachelor,Employed,M,Married,Basic,46833,1
Pakistan,Dubai,High School or Below,Employed,F,Married,Basic,88768,0
India,Dubai,High School or Below,Employed,M,Single,Basic,28262,2
China,Abu Dhabi,Bachelor,Employed,F,Married,Basic,33555,1
UAE,Dubai,College,Employed,M,Divorced,Premium,42780,2
Pakistan,Abu Dhabi,Master,Employed,F,Single,Extended,58850,1
Philipines,Sharjah,College,Employed,M,Married,Extended,21880,1
Pakistan,Dubai,College,Retired,M,Divorced,Basic,25251,2
Other,Abu Dhabi,Master,Self-Employed,F,Married,Basic,0,0
Philipines,Dubai,High School or Below,Employed,M,Married,Basic,24188,1
China,Abu Dhabi,Bachelor,Employed,F,Married,Basic,41611,1
Pakistan,Sharjah,Bachelor,Employed,F,Married,Basic,28406,1
UAE,Dubai,College,Employed,M,Married,Premium,69833,1
Philipines,Dubai,High School or Below,Self-Employed,F,Single,Basic,0,0
Philipines,Dubai,High School or Below,Self-Employed,M,Single,Basic,0,2
Pakistan,Abu Dhabi,High School or Below,Employed,F,Married,Basic,80536,1
Other,Dubai,College,Self-Employed,F,Single,Basic,0,0
Pakistan,Sharjah,College,Employed,F,Married,Extended,97732,1
Philipines,Sharjah,Bachelor,Employed,F,Single,Extended,61222,1
Pakistan,Dubai,College,Self-Employed,M,Single,Basic,0,2
UAE,Sharjah,Master,Employed,M,Married,Premium,50335,1
India,Dubai,High School or Below,Self-Employed,F,Single,Extended,0,0
UAE,Dubai,High School or Below,Employed,M,Married,Premium,63221,1
Pakistan,Dubai,High School or Below,Self-Employed,F,Married,Extended,0,0
China,Sharjah,Bachelor,Employed,M,Married,Extended,64495,1
India,Dubai,College,Self-Employed,F,Married,Basic,0,0
Philipines,Dubai,Bachelor,Employed,F,Divorced,Basic,28859,0
Philipines,Abu Dhabi,High School or Below,Employed,F,Married,Extended,77330,1
UAE,Dubai,College,Self-Employed,M,Married,Premium,0,2
Other,Dubai,Bachelor,Employed,M,Single,Basic,24495,2
Other,Abu Dhabi,High School or Below,Employed,M,Married,Basic,95697,1
Philipines,Dubai,High School or Below,Government,M,Married,Extended,26372,2
Philipines,Abu Dhabi,Bachelor,Enterpreneur,F,Married,Extended,17514,0
India,Sharjah,Bachelor,Employed,F,Single,Basic,89270,1
India,Dubai,High School or Below,Employed,M,Married,Basic,29757,1
Pakistan,Abu Dhabi,College,Employed,M,Single,Extended,51814,1
Pakistan,Dubai,Bachelor,Employed,F,Married,Extended,24028,0
Philipines,Dubai,College,Retired,M,Married,Basic,28142,2
Philipines,Abu Dhabi,Bachelor,Employed,F,Married,Basic,52705,1
India,Dubai,High School or Below,Self-Employed,M,Married,Basic,0,2
Other,Sharjah,College,Employed,F,Married,Basic,84903,1
India,Dubai,College,Self-Employed,F,Divorced,Basic,0,0
Other,Dubai,Bachelor,Retired,F,Single,Basic,24910,0
India,Dubai,Bachelor,Self-Employed,M,Single,Extended,0,2
Pakistan,Dubai,Master,Enterpreneur,M,Married,Basic,21876,2
India,Dubai,Bachelor,Self-Employed,F,Single,Basic,0,0
India,Dubai,High School or Below,Self-Employed,F,Single,Basic,0,0
Pakistan,Sharjah,High School or Below,Employed,F,Divorced,Extended,70699,1
India,Dubai,High School or Below,Self-Employed,F,Married,Basic,0,0
India,Dubai,College,Enterpreneur,M,Married,Basic,27501,2
UAE,Sharjah,Doctor,Government,F,Divorced,Premium,15897,0
China,Abu Dhabi,College,Employed,F,Divorced,Basic,25141,1
China,Dubai,College,Self-Employed,F,Married,Basic,0,0
India,Dubai,High School or Below,Employed,M,Single,Basic,51066,2
India,Abu Dhabi,Bachelor,Employed,F,Married,Basic,28358,1
Other,Abu Dhabi,College,Employed,F,Married,Basic,61846,1
Philipines,Sharjah,Bachelor,Employed,F,Married,Basic,90972,1
Other,Dubai,College,Self-Employed,F,Single,Basic,0,0
India,Dubai,Bachelor,Employed,F,Divorced,Basic,29549,0
UAE,Dubai,Bachelor,Self-Employed,F,Married,Premium,0,0
China,Dubai,Bachelor,Employed,F,Married,Extended,39411,0
Pakistan,Dubai,High School or Below,Employed,M,Married,Basic,21709,1
China,Dubai,Bachelor,Employed,M,Single,Extended,67890,2
India,Dubai,Bachelor,Self-Employed,M,Single,Basic,0,2
India,Dubai,High School or Below,Employed,F,Single,Basic,84311,0
India,Dubai,College,Employed,F,Single,Basic,99316,0
Philipines,Dubai,Bachelor,Employed,F,Married,Extended,54507,0
India,Sharjah,Bachelor,Employed,F,Single,Extended,64586,1
Pakistan,Sharjah,College,Employed,M,Married,Extended,61709,1
India,Sharjah,Master,Employed,M,Married,Basic,94656,1
India,Dubai,High School or Below,Self-Employed,F,Single,Basic,0,0
India,Dubai,Bachelor,Employed,M,Married,Basic,61085,1
Pakistan,Dubai,Bachelor,Employed,F,Married,Basic,89284,0
Philipines,Dubai,High School or Below,Self-Employed,F,Divorced,Basic,0,0
Other,Dubai,Bachelor,Employed,F,Married,Extended,31686,0
UAE,Dubai,High School or Below,Employed,M,Single,Premium,56855,2
Pakistan,Abu Dhabi,Bachelor,Employed,M,Single,Basic,53703,1
Other,Dubai,High School or Below,Self-Employed,F,Single,Extended,0,0
India,Dubai,College,Employed,M,Married,Extended,20396,1
UAE,Dubai,Master,Government,F,Single,Premium,27679,0
China,Dubai,Bachelor,Retired,F,Single,Extended,23904,0
Philipines,Dubai,High School or Below,Employed,F,Married,Basic,65351,0
India,Dubai,College,Self-Employed,M,Single,Basic,0,2
India,Dubai,High School or Below,Self-Employed,M,Single,Basic,0,2
India,Dubai,College,Self-Employed,M,Single,Basic,0,2
India,Sharjah,College,Employed,F,Married,Basic,64459,1
UAE,Dubai,College,Employed,M,Married,Premium,32961,1
Pakistan,Dubai,High School or Below,Employed,F,Divorced,Basic,71416,0
Other,Abu Dhabi,Bachelor,Employed,F,Married,Extended,68964,1
India,Dubai,High School or Below,Employed,M,Single,Extended,78108,2
India,Dubai,College,Retired,M,Single,Basic,10621,2
Other,Sharjah,College,Employed,M,Married,Extended,84910,1
India,Sharjah,High School or Below,Employed,F,Single,Basic,77493,1
